addr	segment	vma	state	pfn	path
789230c12000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c13000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c14000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c15000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c16000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c17000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c18000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c19000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c1a000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c1b000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c1c000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c1d000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c1e000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c1f000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c20000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c21000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c22000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c23000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c24000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c25000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c26000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c27000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c28000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c29000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c2a000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c2b000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c2c000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c2d000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c2e000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c2f000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c30000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c31000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c32000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c33000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c34000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c35000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c36000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c37000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c38000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c39000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c3a000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c3b000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c3c000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c3d000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c3e000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c3f000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
789230c40000	file	789230c00000-7892319ec000	not_present	0	/usr/lib/locale/locale-archive
